date,driver_number,gap_to_leader,interval,meeting_key,session_key
2025-12-07 14:26:27.722000+00:00,31,69.638,3.325,1276,9839
2025-12-07 14:26:27.981000+00:00,27,78.55799999999999,0.739,1276,9839
2025-12-07 14:26:28.305000+00:00,4,16.383,2.847,1276,9839
2025-12-07 14:26:28.329000+00:00,30,,5.656,1276,9839
2025-12-07 14:26:28.508000+00:00,5,76.811,1.498,1276,9839
2025-12-07 14:26:28.676000+00:00,44,70.569,0.931,1276,9839
2025-12-07 14:26:28.788000+00:00,14,66.338,18.082,1276,9839
2025-12-07 14:26:28.818000+00:00,22,80.413,1.848,1276,9839
2025-12-07 14:26:28.918000+00:00,81,13.483,13.483,1276,9839
2025-12-07 14:26:29.153000+00:00,6,86.822,3.043,1276,9839
2025-12-07 14:26:29.267000+00:00,43,,6.103,1276,9839
2025-12-07 14:26:29.329000+00:00,23,83.946,2.729,1276,9839
2025-12-07 14:26:29.548000+00:00,55,77.812,1.001,1276,9839
2025-12-07 14:26:29.611000+00:00,12,81.187,0.774,1276,9839
2025-12-07 14:26:29.697000+00:00,16,24.562,8.069,1276,9839
2025-12-07 14:26:29.705000+00:00,18,75.281,2.613,1276,9839
2025-12-07 14:26:29.805000+00:00,22,80.406,,1276,9839
2025-12-07 14:26:30.247000+00:00,27,78.557,0.745,1276,9839
2025-12-07 14:26:30.269000+00:00,10,,1.938,1276,9839
2025-12-07 14:26:30.560000+00:00,12,81.199,0.793,1276,9839
2025-12-07 14:26:30.835000+00:00,87,72.734,2.165,1276,9839
2025-12-07 14:26:31.018000+00:00,81,13.422,13.422,1276,9839
2025-12-07 14:26:31.258000+00:00,5,76.821,1.54,1276,9839
2025-12-07 14:26:31.264000+00:00,30,,5.581,1276,9839
2025-12-07 14:26:31.310000+00:00,63,48.306,23.233,1276,9839
2025-12-07 14:26:31.780000+00:00,4,16.345,2.862,1276,9839
2025-12-07 14:26:32.091000+00:00,31,69.643,3.305,1276,9839
2025-12-07 14:26:32.105000+00:00,22,80.411,1.854,1276,9839
2025-12-07 14:26:32.198000+00:00,23,83.795,2.608,1276,9839
2025-12-07 14:26:32.252000+00:00,55,77.821,1.0,1276,9839
2025-12-07 14:26:32.260000+00:00,6,86.883,2.937,1276,9839
2025-12-07 14:26:32.947000+00:00,12,81.213,0.802,1276,9839
2025-12-07 14:26:32.969000+00:00,16,24.499,7.993,1276,9839
2025-12-07 14:26:33.036000+00:00,27,78.608,0.787,1276,9839
2025-12-07 14:26:33.193000+00:00,14,66.377,18.039,1276,9839
2025-12-07 14:26:33.211000+00:00,44,70.657,1.014,1276,9839
2025-12-07 14:26:33.280000+00:00,23,83.783,2.584,1276,9839
2025-12-07 14:26:33.297000+00:00,10,,1.951,1276,9839
2025-12-07 14:26:33.321000+00:00,18,75.168,2.434,1276,9839
2025-12-07 14:26:33.998000+00:00,4,16.41,2.988,1276,9839
2025-12-07 14:26:34.619000+00:00,63,48.274,23.251,1276,9839
2025-12-07 14:26:34.697000+00:00,30,,5.578,1276,9839
2025-12-07 14:26:34.880000+00:00,22,80.471,1.863,1276,9839
2025-12-07 14:26:34.977000+00:00,5,76.889,1.721,1276,9839
2025-12-07 14:26:35.160000+00:00,6,86.767,2.972,1276,9839
2025-12-07 14:26:35.260000+00:00,87,72.806,2.149,1276,9839
2025-12-07 14:26:35.474000+00:00,23,83.779,2.566,1276,9839
2025-12-07 14:26:35.697000+00:00,14,66.413,18.063,1276,9839
2025-12-07 14:26:35.705000+00:00,12,81.293,0.822,1276,9839
2025-12-07 14:26:35.993000+00:00,55,77.899,1.01,1276,9839
2025-12-07 14:26:36.169000+00:00,6,86.773,2.99,1276,9839
2025-12-07 14:26:36.297000+00:00,31,69.644,3.267,1276,9839
2025-12-07 14:26:36.329000+00:00,43,,6.035,1276,9839
2025-12-07 14:26:36.420000+00:00,16,24.501,8.118,1276,9839
2025-12-07 14:26:36.629000+00:00,10,,1.942,1276,9839
2025-12-07 14:26:36.698000+00:00,27,78.605,0.706,1276,9839
2025-12-07 14:26:37.444000+00:00,44,70.775,1.131,1276,9839
2025-12-07 14:26:37.619000+00:00,18,75.163,2.357,1276,9839
2025-12-07 14:26:37.893000+00:00,30,,5.624,1276,9839
2025-12-07 14:26:38.031000+00:00,1,0.0,0.0,1276,9839
2025-12-07 14:26:38.139000+00:00,81,13.419,13.419,1276,9839
2025-12-07 14:26:38.182000+00:00,23,83.76,2.467,1276,9839
2025-12-07 14:26:38.510000+00:00,6,86.803,3.024,1276,9839
2025-12-07 14:26:38.642000+00:00,22,80.57,1.965,1276,9839
2025-12-07 14:26:38.861000+00:00,31,69.598,3.185,1276,9839
2025-12-07 14:26:39.231000+00:00,43,,6.003,1276,9839
2025-12-07 14:26:39.420000+00:00,5,77.003,1.84,1276,9839
2025-12-07 14:26:39.457000+00:00,87,,2.031,1276,9839
2025-12-07 14:26:39.460000+00:00,12,81.369,0.799,1276,9839
2025-12-07 14:26:39.868000+00:00,10,,1.95,1276,9839
2025-12-07 14:26:39.919000+00:00,16,24.485,8.14,1276,9839
2025-12-07 14:26:40.030000+00:00,14,66.343,18.073,1276,9839
2025-12-07 14:26:40.161000+00:00,44,70.853,1.255,1276,9839
2025-12-07 14:26:40.394000+00:00,55,77.967,0.964,1276,9839
2025-12-07 14:26:40.741000+00:00,30,,5.564,1276,9839
2025-12-07 14:26:41.012000+00:00,81,13.376,13.376,1276,9839
2025-12-07 14:26:41.034000+00:00,4,16.322,2.903,1276,9839
2025-12-07 14:26:41.055000+00:00,27,78.636,0.669,1276,9839
2025-12-07 14:26:41.303000+00:00,6,86.889,3.129,1276,9839
2025-12-07 14:26:41.705000+00:00,30,,5.551,1276,9839
2025-12-07 14:26:41.892000+00:00,18,75.217,2.411,1276,9839
2025-12-07 14:26:41.931000+00:00,23,83.852,2.483,1276,9839
2025-12-07 14:26:42.010000+00:00,16,24.404,7.994,1276,9839
2025-12-07 14:26:42.118000+00:00,87,72.838,1.985,1276,9839
2025-12-07 14:26:42.636000+00:00,43,,6.0,1276,9839
2025-12-07 14:26:42.818000+00:00,10,,2.06,1276,9839
2025-12-07 14:26:43.065000+00:00,22,80.631,1.995,1276,9839
2025-12-07 14:26:43.251000+00:00,31,69.57300000000001,3.23,1276,9839
2025-12-07 14:26:43.260000+00:00,63,48.178,23.66,1276,9839
2025-12-07 14:26:43.769000+00:00,5,77.104,1.887,1276,9839
2025-12-07 14:26:43.846000+00:00,10,,2.069,1276,9839
2025-12-07 14:26:43.846000+00:00,12,81.42099999999999,0.79,1276,9839
2025-12-07 14:26:43.946000+00:00,4,16.276,2.9,1276,9839
2025-12-07 14:26:44.029000+00:00,30,,5.535,1276,9839
2025-12-07 14:26:44.333000+00:00,14,66.345,18.093,1276,9839
2025-12-07 14:26:44.441000+00:00,81,13.402,13.402,1276,9839
2025-12-07 14:26:44.496000+00:00,18,,2.379,1276,9839
2025-12-07 14:26:44.510000+00:00,44,70.833,1.26,1276,9839
2025-12-07 14:26:44.664000+00:00,55,78.02799999999999,0.924,1276,9839
2025-12-07 14:26:44.985000+00:00,6,86.90899999999999,3.057,1276,9839
2025-12-07 14:26:45.100000+00:00,63,48.176,23.644,1276,9839
2025-12-07 14:26:45.330000+00:00,27,78.656,0.628,1276,9839
2025-12-07 14:26:45.781000+00:00,43,,5.923,1276,9839
2025-12-07 14:26:46.110000+00:00,10,,2.067,1276,9839
2025-12-07 14:26:46.312000+00:00,23,83.889,2.468,1276,9839
2025-12-07 14:26:46.411000+00:00,5,77.151,1.934,1276,9839
2025-12-07 14:26:46.582000+00:00,87,72.91499999999999,2.082,1276,9839
2025-12-07 14:26:46.860000+00:00,30,,5.553,1276,9839
2025-12-07 14:26:47.297000+00:00,55,78.02199999999999,0.871,1276,9839
2025-12-07 14:26:47.329000+00:00,22,80.658,2.002,1276,9839
2025-12-07 14:26:47.352000+00:00,4,16.329,2.927,1276,9839
2025-12-07 14:26:47.522000+00:00,81,13.387,13.387,1276,9839
2025-12-07 14:26:47.547000+00:00,31,69.559,3.214,1276,9839
2025-12-07 14:26:47.911000+00:00,27,78.643,0.621,1276,9839
2025-12-07 14:26:48.089000+00:00,12,81.43,0.772,1276,9839
2025-12-07 14:26:48.630000+00:00,43,,5.835,1276,9839
2025-12-07 14:26:48.850000+00:00,44,70.866,1.307,1276,9839
2025-12-07 14:26:48.880000+00:00,18,75.213,2.298,1276,9839
2025-12-07 14:26:48.905000+00:00,10,,2.037,1276,9839
2025-12-07 14:26:48.945000+00:00,16,24.221,7.899,1276,9839
2025-12-07 14:26:49.380000+00:00,6,86.979,3.09,1276,9839
2025-12-07 14:26:49.418000+00:00,14,66.414,18.108,1276,9839
2025-12-07 14:26:49.654000+00:00,43,,5.832,1276,9839
2025-12-07 14:26:50.002000+00:00,22,80.725,2.082,1276,9839
2025-12-07 14:26:50.420000+00:00,81,13.367,13.367,1276,9839
2025-12-07 14:26:50.547000+00:00,30,,5.544,1276,9839
2025-12-07 14:26:50.589000+00:00,23,83.917,2.487,1276,9839
2025-12-07 14:26:50.619000+00:00,63,48.212,23.635,1276,9839
2025-12-07 14:26:50.624000+00:00,4,16.477,3.09,1276,9839
2025-12-07 14:26:50.718000+00:00,12,81.446,0.721,1276,9839
2025-12-07 14:26:50.882000+00:00,87,72.891,2.025,1276,9839
2025-12-07 14:26:51.038000+00:00,5,77.267,2.054,1276,9839
2025-12-07 14:26:51.377000+00:00,81,13.369,13.369,1276,9839
2025-12-07 14:26:51.710000+00:00,55,78.05,0.783,1276,9839
2025-12-07 14:26:51.788000+00:00,16,24.144,7.868,1276,9839
2025-12-07 14:26:51.932000+00:00,43,,5.831,1276,9839
2025-12-07 14:26:52.376000+00:00,27,78.696,0.646,1276,9839
2025-12-07 14:26:52.561000+00:00,31,69.581,3.167,1276,9839
2025-12-07 14:26:52.685000+00:00,10,,2.136,1276,9839
2025-12-07 14:26:52.754000+00:00,14,66.405,18.131,1276,9839
2025-12-07 14:26:53.146000+00:00,18,75.082,2.191,1276,9839
2025-12-07 14:26:53.193000+00:00,23,83.913,2.467,1276,9839
2025-12-07 14:26:53.365000+00:00,63,48.204,23.642,1276,9839
2025-12-07 14:26:53.490000+00:00,4,16.427,3.06,1276,9839
2025-12-07 14:26:53.693000+00:00,6,87.005,3.088,1276,9839
2025-12-07 14:26:53.709000+00:00,81,13.366,13.366,1276,9839
2025-12-07 14:26:53.896000+00:00,44,70.893,1.312,1276,9839
2025-12-07 14:26:54.427000+00:00,4,16.405,3.036,1276,9839
2025-12-07 14:26:54.490000+00:00,22,80.837,2.141,1276,9839
2025-12-07 14:26:54.709000+00:00,43,,5.802,1276,9839
2025-12-07 14:26:54.912000+00:00,30,,5.512,1276,9839
2025-12-07 14:26:55.240000+00:00,16,24.183,7.854,1276,9839
2025-12-07 14:26:55.255000+00:00,5,77.251,2.169,1276,9839
2025-12-07 14:26:55.302000+00:00,12,81.554,0.717,1276,9839
2025-12-07 14:26:55.896000+00:00,31,69.54599999999999,3.141,1276,9839
2025-12-07 14:26:55.912000+00:00,87,72.926,2.033,1276,9839
2025-12-07 14:26:56.052000+00:00,55,78.069,0.818,1276,9839
2025-12-07 14:26:56.287000+00:00,6,87.025,3.112,1276,9839
2025-12-07 14:26:56.443000+00:00,81,13.359,13.359,1276,9839
2025-12-07 14:26:56.568000+00:00,27,78.57,0.501,1276,9839
2025-12-07 14:26:56.709000+00:00,4,16.379,3.013,1276,9839
2025-12-07 14:26:56.724000+00:00,63,48.294,23.795,1276,9839
2025-12-07 14:26:57.084000+00:00,10,,2.191,1276,9839
2025-12-07 14:26:57.240000+00:00,44,,1.347,1276,9839
2025-12-07 14:26:57.740000+00:00,23,83.986,2.432,1276,9839
2025-12-07 14:26:58.099000+00:00,18,75.109,2.183,1276,9839
2025-12-07 14:26:58.302000+00:00,16,24.188,7.711,1276,9839
2025-12-07 14:26:58.459000+00:00,43,,5.791,1276,9839
2025-12-07 14:26:58.865000+00:00,22,80.871,2.301,1276,9839
2025-12-07 14:26:59.240000+00:00,30,,5.55,1276,9839
2025-12-07 14:26:59.240000+00:00,87,72.881,1.988,1276,9839
2025-12-07 14:26:59.443000+00:00,4,16.343,2.984,1276,9839
2025-12-07 14:26:59.568000+00:00,12,81.58500000000001,0.714,1276,9839
2025-12-07 14:27:00.099000+00:00,81,13.283,13.283,1276,9839
2025-12-07 14:27:00.146000+00:00,63,48.24,23.739,1276,9839
2025-12-07 14:27:00.302000+00:00,5,77.299,2.19,1276,9839
2025-12-07 14:27:00.834000+00:00,6,87.18,3.194,1276,9839
2025-12-07 14:27:00.943000+00:00,55,77.94800000000001,0.649,1276,9839
2025-12-07 14:27:01.130000+00:00,16,24.103,7.676,1276,9839
2025-12-07 14:27:01.380000+00:00,27,78.39,0.442,1276,9839
2025-12-07 14:27:01.459000+00:00,10,,2.237,1276,9839
2025-12-07 14:27:01.490000+00:00,18,75.156,2.275,1276,9839
2025-12-07 14:27:01.630000+00:00,14,66.551,18.373,1276,9839
2025-12-07 14:27:01.930000+00:00,30,,5.629,1276,9839
2025-12-07 14:27:01.981000+00:00,23,84.002,2.417,1276,9839
2025-12-07 14:27:02.110000+00:00,16,24.096,7.691,1276,9839
2025-12-07 14:27:02.847000+00:00,43,,5.754,1276,9839
2025-12-07 14:27:03.058000+00:00,4,16.22,2.937,1276,9839
2025-12-07 14:27:03.461000+00:00,14,66.557,18.381,1276,9839
2025-12-07 14:27:03.605000+00:00,5,77.28,2.124,1276,9839
2025-12-07 14:27:03.730000+00:00,63,48.275,23.79,1276,9839
2025-12-07 14:27:03.873000+00:00,22,80.88,2.49,1276,9839
2025-12-07 14:27:04.060000+00:00,55,77.711,0.431,1276,9839
2025-12-07 14:27:04.110000+00:00,10,,2.178,1276,9839
2025-12-07 14:27:04.416000+00:00,16,24.095,7.716,1276,9839
2025-12-07 14:27:04.434000+00:00,81,13.235,13.235,1276,9839
2025-12-07 14:27:04.457000+00:00,12,81.465,0.585,1276,9839
2025-12-07 14:27:04.521000+00:00,27,78.144,0.433,1276,9839
2025-12-07 14:27:04.551000+00:00,31,69.486,2.935,1276,9839
2025-12-07 14:27:05.129000+00:00,6,87.16499999999999,3.163,1276,9839
2025-12-07 14:27:05.884000+00:00,63,48.272,23.868,1276,9839
2025-12-07 14:27:06.043000+00:00,44,70.964,1.478,1276,9839
2025-12-07 14:27:06.277000+00:00,30,,5.444,1276,9839
2025-12-07 14:27:06.386000+00:00,31,69.474,2.917,1276,9839
2025-12-07 14:27:06.996000+00:00,23,84.005,2.54,1276,9839
2025-12-07 14:27:07.121000+00:00,22,80.797,2.653,1276,9839
2025-12-07 14:27:07.136000+00:00,16,24.053,7.71,1276,9839
