Date,Status,X,Y,Z,Source,Time,SessionTime,Driver
2025-12-07 12:44:28.310,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:39:21.247000,0 days 00:39:21.247000,1
2025-12-07 12:44:41.370,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:39:34.307000,0 days 00:39:34.307000,1
2025-12-07 12:44:54.990,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:39:47.927000,0 days 00:39:47.927000,1
2025-12-07 12:45:08.290,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:40:01.227000,0 days 00:40:01.227000,1
2025-12-07 12:45:19.991,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:40:12.928000,0 days 00:40:12.928000,1
2025-12-07 12:45:32.511,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:40:25.448000,0 days 00:40:25.448000,1
2025-12-07 12:45:45.351,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:40:38.288000,0 days 00:40:38.288000,1
2025-12-07 12:45:59.251,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:40:52.188000,0 days 00:40:52.188000,1
2025-12-07 12:46:12.371,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:41:05.308000,0 days 00:41:05.308000,1
2025-12-07 12:46:25.191,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:41:18.128000,0 days 00:41:18.128000,1
2025-12-07 12:46:38.991,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:41:31.928000,0 days 00:41:31.928000,1
2025-12-07 12:46:50.931,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:41:43.868000,0 days 00:41:43.868000,1
2025-12-07 12:47:04.331,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:41:57.268000,0 days 00:41:57.268000,1
2025-12-07 12:47:17.171,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:42:10.108000,0 days 00:42:10.108000,1
2025-12-07 12:47:30.071,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:42:23.008000,0 days 00:42:23.008000,1
2025-12-07 12:47:42.792,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:42:35.729000,0 days 00:42:35.729000,1
2025-12-07 12:47:56.851,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:42:49.788000,0 days 00:42:49.788000,1
2025-12-07 12:48:10.171,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:43:03.108000,0 days 00:43:03.108000,1
2025-12-07 12:48:22.772,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:43:15.709000,0 days 00:43:15.709000,1
2025-12-07 12:48:35.632,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:43:28.569000,0 days 00:43:28.569000,1
2025-12-07 12:48:48.292,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:43:41.229000,0 days 00:43:41.229000,1
2025-12-07 12:49:00.972,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:43:53.909000,0 days 00:43:53.909000,1
2025-12-07 12:49:14.752,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:44:07.689000,0 days 00:44:07.689000,1
2025-12-07 12:49:28.272,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:44:21.209000,0 days 00:44:21.209000,1
2025-12-07 12:49:41.652,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:44:34.589000,0 days 00:44:34.589000,1
2025-12-07 12:49:54.892,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:44:47.829000,0 days 00:44:47.829000,1
2025-12-07 12:50:07.972,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:45:00.909000,0 days 00:45:00.909000,1
2025-12-07 12:50:21.152,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:45:14.089000,0 days 00:45:14.089000,1
2025-12-07 12:50:35.012,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:45:27.949000,0 days 00:45:27.949000,1
2025-12-07 12:50:48.312,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:45:41.249000,0 days 00:45:41.249000,1
2025-12-07 12:51:00.072,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:45:53.009000,0 days 00:45:53.009000,1
2025-12-07 12:51:12.812,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:46:05.749000,0 days 00:46:05.749000,1
2025-12-07 12:51:26.292,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:46:19.229000,0 days 00:46:19.229000,1
2025-12-07 12:51:38.973,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:46:31.910000,0 days 00:46:31.910000,1
2025-12-07 12:51:52.313,OnTrack,556.0,2079.0,-239.0,pos,0 days 00:46:45.250000,0 days 00:46:45.250000,1
